,Specialty,State,METHADONE.HCL,OXYCODONE.ACETAMINOPHEN,HYDROCODONE.ACETAMINOPHEN,ACETAMINOPHEN.CODEINE,FENTANYL,TRAMADOL.HCL,MORPHINE.SULFATE.ER,OXYCODONE.HCL,MORPHINE.SULFATE,OXYCONTIN,HYDROMORPHONE.HCL
7835,Rheumatology,GA,0,0,12,0,0,373,0,0,0,0,0
7836,Nurse Practitioner,NH,0,0,0,0,16,16,0,0,0,0,0
7837,Family Practice,ME,0,0,0,0,0,0,0,0,0,0,0
7838,Internal Medicine,VT,0,0,0,0,0,0,0,0,0,0,0
7839,Orthopedic Surgery,NY,0,0,0,0,0,11,0,11,0,0,0
7840,Internal Medicine,WY,22,22,114,0,0,0,23,0,11,0,15
7841,Ophthalmology,FL,0,0,0,0,0,0,0,0,0,0,0
7842,Emergency Medicine,CA,0,11,43,0,0,0,0,0,0,0,0
7843,Internal Medicine,MD,0,0,0,0,0,0,0,0,0,0,0
7844,Family Practice,TN,0,70,830,0,41,269,34,46,16,16,0
7845,Cardiology,VA,0,0,0,0,0,0,0,0,0,0,0
7846,Internal Medicine,WI,63,430,82,54,145,98,91,354,24,256,0
7847,Family Practice,AZ,0,16,0,16,0,0,0,0,0,0,0
7848,Internal Medicine,UT,13,17,112,0,0,93,0,13,0,0,0
7849,Ophthalmology,TX,0,0,0,0,0,0,0,0,0,0,0
7850,General Surgery,MA,0,16,36,0,0,0,0,0,0,0,0
7851,Nurse Practitioner,MA,0,0,0,0,0,0,0,0,0,0,0
7852,Physician Assistant,MI,0,0,0,0,0,0,0,0,0,0,0
7853,Physical Medicine and Rehabilitation,CA,0,0,46,0,0,0,0,0,0,0,0
7854,Family Practice,NJ,0,0,0,0,0,15,0,0,0,0,0
7855,Nurse Practitioner,VA,0,0,0,0,0,0,0,0,0,0,0
7856,Physician Assistant,TX,0,0,0,0,0,23,0,0,0,0,0
7857,Podiatry,CA,0,0,43,0,0,0,0,0,0,0,0
7858,Family Practice,CO,0,0,0,0,0,0,0,0,0,0,0
7859,Internal Medicine,TN,0,0,314,0,0,127,0,0,0,0,0
7860,Pulmonary Disease,MA,0,0,0,0,0,0,0,0,0,0,0
7861,Internal Medicine,NY,0,0,0,0,0,0,0,0,0,0,0
7862,Urology,WY,0,0,31,0,0,0,0,0,0,0,0
7863,Physician Assistant,VA,0,11,41,0,0,0,0,0,0,0,0
7864,Obstetrics/Gynecology,LA,0,0,0,0,0,0,0,0,0,0,0
7865,Family Practice,CA,0,0,29,0,12,52,0,0,0,0,0
7866,Physician Assistant,WV,0,0,18,0,0,0,0,0,0,0,0
7867,Family Practice,TN,0,37,307,31,0,80,22,0,0,12,0
7868,Obstetrics/Gynecology,IL,0,0,26,0,0,0,0,0,0,0,0
7869,Dentist,MA,0,0,0,0,0,0,0,0,0,0,0
7870,Dentist,PA,0,11,0,0,0,0,0,0,0,0,0
7871,Family Practice,ID,0,0,20,16,168,0,15,45,0,38,0
7872,Dentist,GA,0,0,0,0,0,0,0,0,0,0,0
7873,Family Practice,MI,12,68,333,21,0,200,30,0,0,0,0
7874,Dentist,FL,0,0,25,0,0,0,0,0,0,0,0
7875,Anesthesiology,NY,0,0,48,0,33,14,0,0,21,0,0
7876,Dentist,NC,0,0,0,0,0,0,0,0,0,0,0
7877,Family Practice,NE,0,27,176,18,0,58,0,0,0,0,0
7878,Obstetrics/Gynecology,CO,0,0,0,0,0,0,0,0,0,0,0
7879,Pulmonary Disease,OH,0,0,0,0,0,0,0,0,0,0,0
7880,Family Practice,OK,0,0,64,22,0,77,0,0,0,0,0
7881,Dentist,OR,0,0,0,0,0,0,0,0,0,0,0
7882,Ophthalmology,PA,0,0,0,0,0,0,0,0,0,0,0
7883,Dentist,CA,0,0,15,0,0,0,0,0,0,0,0
7884,Psychiatry,NH,0,0,0,0,0,0,0,0,0,0,0
7885,Optometry,NM,0,0,0,0,0,0,0,0,0,0,0
7886,Family Practice,TX,0,0,0,0,0,0,0,0,0,0,0
7887,Internal Medicine,IN,0,0,12,0,0,0,0,0,0,0,0
7888,Dentist,TX,0,0,0,0,0,0,0,0,0,0,0
7889,Family Practice,IL,0,0,0,0,0,0,0,0,12,0,0
7890,Family Practice,VA,0,29,0,0,0,0,0,0,0,0,0
7891,Dentist,IN,0,0,0,0,0,0,0,0,0,0,0
7892,Dentist,AL,0,0,26,0,0,0,0,0,0,0,0
7893,Physician Assistant,KY,0,0,0,0,0,0,0,0,0,0,0
7894,Dentist,NJ,0,0,0,0,0,0,0,0,0,0,0
7895,General Surgery,CO,0,0,70,0,0,0,0,0,0,0,0
7896,Dentist,CA,0,0,0,11,0,0,0,0,0,0,0
7897,Obstetrics/Gynecology,OK,0,0,0,0,0,0,0,0,0,0,0
7898,Physician Assistant,NY,0,0,0,0,0,0,0,0,0,0,0
7899,Internal Medicine,MT,0,0,13,0,0,0,0,0,0,0,0
7900,Family Practice,PA,0,0,0,0,0,0,0,0,0,0,0
7901,Emergency Medicine,VA,0,0,51,0,0,0,0,0,0,0,0
7902,Internal Medicine,RI,0,0,0,0,0,0,0,0,0,0,0
7903,Dentist,MN,0,0,0,0,0,0,0,0,0,0,0
7904,Neurology,AZ,0,0,0,0,0,0,0,13,0,0,0
7905,Internal Medicine,NY,0,0,0,0,0,0,0,0,0,0,0
7906,Family Practice,CA,0,0,0,0,0,0,0,0,0,0,0
7907,Ophthalmology,CA,0,40,23,0,0,0,0,0,0,0,0
7908,Dentist,MT,0,0,0,0,0,0,0,0,0,0,0
7909,General Surgery,NY,0,0,15,0,0,0,0,0,0,0,0
7910,Nurse Practitioner,TX,0,0,0,0,0,0,0,0,0,0,0
7911,Cardiology,MI,0,0,0,0,0,0,0,0,0,0,0
7912,Family Practice,AZ,0,20,119,0,0,39,0,32,0,17,0
7913,Nurse Practitioner,NY,0,0,19,0,0,0,0,0,0,0,0
7914,Family Practice,WA,0,0,0,0,0,12,0,0,0,0,0
7915,Psychiatry & Neurology,CA,0,0,0,0,0,0,0,0,0,0,0
7916,Internal Medicine,MD,0,0,0,0,0,59,0,24,0,0,0
7917,Physician Assistant,CA,0,0,0,0,0,0,0,0,0,0,0
7918,Physician Assistant,IA,0,0,44,0,0,36,0,0,0,0,0
7919,Physician Assistant,NY,0,0,0,0,0,0,0,0,0,0,0
7920,Family Practice,FL,0,0,0,0,0,0,0,0,0,0,0
7921,Physician Assistant,WA,0,0,34,0,0,0,0,0,0,0,0
7922,Internal Medicine,MA,0,0,0,0,0,0,0,0,0,0,0
7923,Dentist,CA,0,0,0,14,0,0,0,0,0,0,0
7924,Internal Medicine,OH,0,0,18,0,12,0,12,37,0,12,0
7925,Dentist,AZ,0,0,0,0,0,0,0,0,0,0,0
7926,Nurse Practitioner,NC,0,0,0,0,0,0,0,0,0,0,0
7927,Dentist,IN,0,0,0,0,0,0,0,0,0,0,0
7928,Dentist,MI,0,0,0,0,0,0,0,0,0,0,0
7929,Obstetrics/Gynecology,VA,0,0,0,0,0,0,0,0,0,0,0
7930,Oral Surgery (dentists only),AL,0,45,50,0,0,0,0,0,0,0,0
7931,Psychiatry,CA,0,0,0,0,0,0,0,0,0,0,0
7932,Dentist,CA,0,0,0,0,0,0,0,0,0,0,0
7933,Internal Medicine,PA,0,0,49,0,0,17,0,0,0,0,0
7934,Psychiatry,CA,0,0,0,0,0,0,0,0,0,0,0
7935,Cardiology,KS,0,0,0,0,0,0,0,0,0,0,0
7936,Psychiatry,DE,0,0,0,0,0,0,0,0,0,0,0
7937,Physician Assistant,TX,0,0,16,0,0,31,0,0,0,0,0
7938,Oral Surgery (dentists only),NY,0,0,0,0,0,0,0,0,0,0,0
7939,Rheumatology,IL,0,0,25,0,0,0,0,0,0,0,0
7940,Dentist,FL,0,0,0,0,0,0,0,0,0,0,0
7941,Internal Medicine,OH,0,0,0,0,0,0,0,0,0,0,0
7942,Nurse Practitioner,PA,0,0,0,0,0,0,0,0,0,0,0
7943,Family Practice,KS,0,0,13,0,0,36,12,0,0,0,0
7944,Nurse Practitioner,TN,0,38,167,0,0,35,0,0,0,0,0
7945,Physician Assistant,WA,0,0,0,0,0,0,0,0,0,0,0
7946,Nurse Practitioner,FL,0,0,0,0,0,0,0,0,0,0,0
7947,Internal Medicine,CA,0,0,0,0,0,0,0,0,0,0,0
7948,Physician Assistant,WV,0,0,51,15,0,0,0,0,0,0,0
7949,Internal Medicine,RI,0,0,0,0,0,0,0,0,0,0,0
7950,Student in an Organized Health Care Education/Training Program,TX,0,0,11,0,0,0,0,0,0,0,0
7951,Optometry,KY,0,0,0,0,0,0,0,0,0,0,0
7952,Internal Medicine,MI,0,0,0,0,0,0,0,0,0,0,0
7953,Emergency Medicine,MI,0,0,33,0,0,0,0,0,0,0,0
7954,Dentist,NM,0,0,13,0,0,0,0,0,0,0,0
7955,Family Practice,NV,0,23,220,0,0,87,0,11,0,0,0
7956,Internal Medicine,PA,0,0,0,0,0,0,0,0,0,0,0
7957,Nurse Practitioner,FL,0,0,0,0,0,0,0,0,0,0,0
7958,Obstetrics/Gynecology,AL,0,0,0,0,0,0,0,0,0,0,0
7959,Family Practice,CA,0,0,16,27,0,0,0,0,0,0,0
7960,Internal Medicine,PA,15,86,34,19,17,137,0,61,0,0,0
7961,Nurse Practitioner,TN,0,0,14,0,0,0,0,0,0,0,0
7962,Physician Assistant,MD,0,0,20,0,0,0,0,0,0,0,0
7963,Urology,NY,0,26,0,0,0,0,0,0,0,0,0
7964,Nurse Practitioner,NY,0,0,0,0,0,0,0,0,0,0,0
7965,Nurse Practitioner,DC,0,0,0,0,0,0,0,0,0,0,0
7966,Student in an Organized Health Care Education/Training Program,MA,0,0,0,0,0,0,0,0,0,0,0
7967,Student in an Organized Health Care Education/Training Program,OH,0,28,0,0,0,0,0,0,0,0,0
7968,Internal Medicine,MN,0,0,0,0,0,0,0,0,0,0,0
7969,Internal Medicine,MA,0,0,0,0,0,0,0,0,0,0,0
7970,Nurse Practitioner,OH,0,0,0,0,0,0,0,0,0,0,0
7971,Physician Assistant,WA,0,0,16,0,0,0,0,0,0,0,0
7972,Internal Medicine,PA,0,0,0,0,0,0,0,0,0,0,0
7973,Nurse Practitioner,NY,0,0,0,0,0,0,0,0,0,0,0
7974,Student in an Organized Health Care Education/Training Program,MI,0,0,0,0,0,0,0,0,0,0,0
7975,Nurse Practitioner,IN,0,11,40,0,17,14,0,0,0,0,0
7976,Dentist,NY,0,0,0,0,0,0,0,0,0,0,0
7977,Student in an Organized Health Care Education/Training Program,OR,0,0,0,0,0,0,0,26,0,0,0
7978,Oral Surgery (dentists only),KY,0,0,21,0,0,0,0,0,0,0,0
7979,Rheumatology,TX,0,0,55,0,0,27,0,0,0,0,0
7980,Podiatry,SC,0,0,0,0,0,0,0,0,0,0,0
7981,Dermatology,MN,0,0,0,0,0,0,0,0,0,0,0
7982,Ophthalmology,GA,0,0,0,0,0,0,0,0,0,0,0
7983,Obstetrics/Gynecology,PA,0,0,0,0,0,0,0,0,0,0,0
7984,Family Practice,OR,0,50,679,86,16,51,19,86,0,0,0
7985,Family Practice,NY,0,83,81,13,31,72,12,38,0,0,0
7986,Family Practice,AZ,0,0,0,0,0,0,0,0,0,0,0
7987,General Practice,NC,0,143,353,0,81,305,56,68,0,61,0
7988,Endocrinology,CA,0,0,0,0,0,0,0,0,0,0,0
7989,Family Practice,NC,0,0,13,0,0,0,0,0,0,0,0
7990,Neurology,IN,0,0,0,0,0,0,0,0,0,0,0
7991,Internal Medicine,NJ,0,0,0,0,0,0,0,0,0,0,0
7992,Nurse Practitioner,MO,0,0,0,0,0,104,0,0,0,0,0
7993,Dentist,WA,0,0,24,0,0,0,0,0,0,0,0
7994,Pulmonary Disease,MN,0,0,0,0,0,0,0,0,0,0,0
7995,Emergency Medicine,NY,0,0,26,0,0,0,0,0,0,0,0
7996,Emergency Medicine,WV,0,0,21,0,0,0,0,0,0,0,0
7997,Pulmonary Disease,MA,0,0,0,0,0,0,0,0,0,0,0
7998,Family Practice,ID,0,0,15,0,0,0,0,0,0,0,0
7999,Family Practice,NC,0,0,34,0,0,26,0,0,0,0,0
8000,Cardiology,MI,0,0,0,0,0,0,0,0,0,0,0
8001,Optometry,TX,0,0,0,0,0,0,0,0,0,0,0
8002,Hematology/Oncology,NE,0,12,0,0,0,0,19,0,0,0,0
8003,Internal Medicine,CA,0,0,0,0,0,0,0,0,0,0,0
8004,Ophthalmology,NY,0,0,0,0,0,0,0,0,0,0,0
8005,Internal Medicine,NY,0,0,0,0,0,0,0,0,0,0,0
8006,Internal Medicine,OH,0,0,0,0,0,29,0,0,0,0,0
8007,Psychiatry,IL,0,0,0,0,0,0,0,0,0,0,0
8008,Obstetrics/Gynecology,CA,0,0,0,0,0,0,0,0,0,0,0
8009,General Surgery,OK,0,17,58,0,0,12,0,0,0,0,0
8010,Pediatric Medicine,LA,0,0,0,0,0,0,0,0,0,0,0
8011,Internal Medicine,AZ,0,0,19,0,0,0,0,0,0,0,0
8012,Family Practice,FL,0,0,20,0,0,14,13,0,13,0,0
8013,Otolaryngology,WA,0,0,20,0,0,0,0,0,0,0,0
8014,General Surgery,TX,0,0,27,12,0,0,0,0,0,0,0
8015,Family Practice,NC,0,127,312,0,23,252,13,226,0,31,0
8016,Podiatry,NH,0,22,0,0,0,0,0,0,0,0,0
8017,Optometry,NY,0,0,0,0,0,0,0,0,0,0,0
8018,Internal Medicine,NY,0,154,67,0,186,76,16,55,0,28,0
8019,Nurse Practitioner,PA,0,0,0,0,0,0,0,22,0,0,0
8020,Obstetrics/Gynecology,KY,0,0,0,0,0,0,0,0,0,0,0
8021,Nurse Practitioner,FL,0,0,0,0,0,0,0,0,0,0,0
8022,Dentist,NJ,0,0,0,0,0,0,0,0,0,0,0
8023,Emergency Medicine,VA,0,69,162,0,11,127,0,44,11,0,13
8024,Internal Medicine,NY,0,24,0,0,0,23,0,12,0,0,0
8025,Allergy/Immunology,OR,0,0,0,0,0,0,0,0,0,0,0
8026,Ophthalmology,TN,0,0,0,0,0,0,0,0,0,0,0
8027,Nurse Practitioner,SD,0,0,104,0,0,67,0,15,0,0,0
8028,Nephrology,IN,0,0,43,0,0,19,0,0,0,0,0
8029,Urology,CA,0,0,38,0,0,0,0,0,0,0,0
8030,General Surgery,TN,0,35,32,0,0,0,0,0,0,0,0
8031,Obstetrics/Gynecology,NY,0,37,0,0,0,0,0,0,0,0,0
8032,Dentist,GA,0,0,0,0,0,0,0,0,0,0,0
8033,Orthopedic Surgery,TX,0,11,210,0,0,75,0,0,0,0,0
8034,Oral Surgery (dentists only),MA,0,0,0,0,0,0,0,0,0,0,0
8035,Orthopedic Surgery,VA,0,26,47,0,0,0,0,0,0,0,0
8036,Family Practice,OH,0,18,75,0,12,106,0,0,0,0,0
8037,Emergency Medicine,NJ,0,0,0,0,0,0,0,0,0,0,0
8038,Family Practice,GA,0,28,138,0,0,33,0,0,0,0,0
8039,Pulmonary Disease,MI,0,0,0,0,0,0,0,0,0,0,0
8040,Family Practice,MS,0,0,672,68,64,118,0,30,25,0,0
8041,Optometry,LA,0,0,0,0,0,0,0,0,0,0,0
8042,Family Practice,AL,0,0,40,74,0,45,0,0,0,0,0
8043,Dentist,NY,0,0,0,0,0,0,0,0,0,0,0
8044,Family Practice,CA,0,0,24,0,0,43,0,0,0,0,0
8045,Emergency Medicine,NJ,0,0,0,0,0,0,0,0,0,0,0
8046,Orthopedic Surgery,OH,0,19,21,17,0,95,0,15,0,0,0
8047,Pediatric Medicine,OH,0,0,0,0,0,0,0,0,0,0,0
8048,Internal Medicine,LA,0,0,18,0,0,0,0,0,0,0,0
8049,Optometry,CA,0,0,0,0,0,0,0,0,0,0,0
8050,Nurse Practitioner,MN,0,0,0,0,0,0,0,0,0,0,0
8051,Internal Medicine,LA,0,0,0,0,0,29,0,0,0,0,0
8052,Family Practice,CA,0,18,116,0,0,34,0,0,0,0,0
8053,Orthopedic Surgery,SC,0,22,33,0,0,49,0,15,0,0,0
8054,Internal Medicine,CA,0,11,0,0,0,0,0,0,0,0,0
8055,Ophthalmology,CA,0,0,0,0,0,0,0,0,0,0,0
8056,Orthopedic Surgery,DE,0,99,135,67,0,146,0,15,0,0,0
8057,Internal Medicine,NY,0,19,0,0,16,0,11,0,0,46,0
8058,Orthopedic Surgery,NM,0,16,0,0,0,0,0,0,0,0,0
8059,Dermatology,IL,0,0,0,0,0,0,0,0,0,0,0
8060,Neurology,PA,0,0,0,0,0,12,0,0,0,0,0
8061,Internal Medicine,IL,0,0,21,0,0,0,0,0,0,0,0
8062,General Surgery,GA,0,0,104,0,0,0,0,0,0,0,0
8063,Orthopedic Surgery,NC,0,15,41,0,0,20,0,0,0,0,0
8064,Internal Medicine,MA,0,0,0,0,0,0,0,0,0,0,0
8065,Internal Medicine,NY,0,12,0,0,0,0,0,140,0,0,0
8066,Podiatry,FL,0,21,0,0,0,0,0,0,0,0,0
8067,Orthopedic Surgery,WI,0,0,22,0,0,0,0,0,0,0,0
8068,Internal Medicine,MI,18,61,495,91,53,68,26,0,0,0,0
8069,Ophthalmology,VT,0,0,0,0,0,0,0,0,0,0,0
8070,Physician Assistant,NY,0,0,0,0,0,0,0,0,0,0,0
8071,Emergency Medicine,MA,0,13,0,11,0,0,0,0,0,0,0
8072,Internal Medicine,MI,0,25,329,79,15,19,17,0,0,0,0
8073,Internal Medicine,AR,0,0,149,0,0,114,0,0,0,0,0
8074,Family Practice,NM,0,0,511,72,0,150,0,11,0,0,0
8075,Emergency Medicine,NC,0,0,21,0,0,52,0,0,0,0,0
8076,Nurse Practitioner,WY,0,19,103,0,12,19,29,0,0,0,0
8077,Dentist,PA,0,0,0,75,0,0,0,0,0,0,0
8078,Neurology,CA,0,0,0,0,0,0,0,0,0,0,0
8079,Nurse Practitioner,KS,0,0,0,0,0,0,0,0,0,0,0
8080,Dentist,TN,0,0,0,0,0,0,0,0,0,0,0
8081,Emergency Medicine,FL,0,0,23,0,0,0,0,0,0,0,0
8082,Family Practice,MN,0,0,16,0,0,15,0,0,0,0,0
8083,General Practice,IL,0,22,356,37,15,213,16,0,0,13,0
8084,Dentist,SC,0,0,12,0,0,0,0,0,0,0,0
8085,Nephrology,LA,0,46,153,0,0,55,12,21,0,0,0
8086,Cardiology,MI,0,0,0,0,0,0,0,0,0,0,0
8087,Family Practice,DE,0,78,19,0,0,73,0,18,0,0,0
8088,Nurse Practitioner,MI,0,0,0,0,0,0,0,0,0,0,0
8089,Dentist,MO,0,0,0,0,0,0,0,0,0,0,0
8090,Cardiology,TX,0,0,20,0,0,42,0,0,0,0,0
8091,Internal Medicine,CA,0,0,0,0,0,0,0,0,0,0,0
8092,Ophthalmology,MD,0,0,0,0,0,0,0,0,0,0,0
8093,Internal Medicine,NY,0,0,0,0,0,0,0,0,0,0,0
8094,Dentist,NV,0,0,0,0,0,0,0,0,0,0,0
8095,Orthopedic Surgery,TX,0,0,18,12,0,0,0,0,0,0,0
8096,Emergency Medicine,GA,0,20,0,0,0,39,0,0,0,0,0
8097,Internal Medicine,FL,0,0,20,0,0,0,0,0,0,0,0
8098,Family Practice,MS,0,59,411,0,22,158,0,0,0,0,0
8099,Internal Medicine,TX,0,0,13,0,0,39,0,0,0,0,0
8100,Dentist,MS,0,0,58,0,0,0,0,0,0,0,0
8101,Dentist,NY,0,0,0,0,0,0,0,0,0,0,0
8102,Internal Medicine,CA,0,0,16,19,0,0,13,0,0,0,0
8103,Nurse Practitioner,IL,0,0,14,0,0,0,0,0,0,0,0
8104,Dentist,NC,0,0,0,0,0,0,0,0,0,0,0
8105,Obstetrics/Gynecology,PR,0,0,0,0,0,0,0,0,0,0,0
8106,Dermatology,CA,0,0,0,0,0,0,0,0,0,0,0
8107,Dentist,TX,0,0,0,0,0,0,0,0,0,0,0
8108,Physical Medicine and Rehabilitation,AL,12,22,178,0,20,49,0,0,0,22,0
8109,Internal Medicine,NY,0,0,0,0,0,0,0,0,0,0,0
8110,Emergency Medicine,UT,0,0,15,0,0,0,0,0,0,0,0
8111,Nurse Practitioner,PA,0,0,0,0,0,0,0,0,0,0,0
8112,Nurse Practitioner,VA,0,0,0,0,16,30,0,0,0,0,0
8113,Dentist,AZ,0,0,0,0,0,0,0,0,0,0,0
8114,Internal Medicine,MI,0,0,51,0,0,0,0,0,0,0,0
8115,Dentist,MI,0,0,0,0,0,0,0,0,0,0,0
8116,Hematology/Oncology,FL,30,31,112,0,51,23,20,64,19,0,0
8117,Psychiatry,WI,0,0,0,0,0,0,0,0,0,0,0
8118,Emergency Medicine,MD,0,0,24,0,0,0,0,0,0,0,0
8119,Dentist,NJ,0,0,0,0,0,0,0,0,0,0,0
8120,Obstetrics/Gynecology,CA,0,0,0,0,0,0,0,0,0,0,0
8121,Internal Medicine,NY,0,0,0,0,0,0,0,0,0,0,0
8122,Physician Assistant,NY,0,0,0,0,0,0,0,0,0,0,0
8123,Internal Medicine,CA,0,0,0,0,0,0,0,0,0,0,0
8124,Nephrology,PA,0,0,0,0,0,0,0,0,0,0,0
8125,General Surgery,TX,0,0,23,0,0,0,0,0,0,0,0
8126,Dentist,FL,0,0,0,0,0,0,0,0,0,0,0
8127,Internal Medicine,NY,0,76,0,15,0,27,0,0,0,0,0
8128,Internal Medicine,FL,0,20,14,0,0,0,0,0,0,0,0
8129,Dentist,CA,0,0,0,0,0,0,0,0,0,0,0
8130,General Surgery,HI,0,0,21,0,0,0,0,0,0,0,0
8131,Physician Assistant,CA,0,0,0,0,0,0,0,0,0,0,0
8132,Nurse Practitioner,LA,0,0,0,0,0,0,0,0,0,0,0
8133,Dentist,WI,0,0,0,0,0,0,0,0,0,0,0
8134,Optometry,CO,0,0,0,0,0,0,0,0,0,0,0
8135,Hematology/Oncology,TX,0,0,13,0,0,0,0,0,0,0,0
8136,Nurse Practitioner,FL,0,0,0,0,0,0,0,0,0,0,0
8137,Urology,CA,0,0,53,0,0,0,0,0,0,0,0
8138,Dentist,FL,0,0,35,0,0,0,0,0,0,0,0
8139,Internal Medicine,TX,0,0,18,0,0,0,0,0,0,0,0
8140,Gastroenterology,NJ,0,0,0,0,0,0,0,0,0,0,0
8141,Dentist,CA,0,0,0,0,0,0,0,0,0,0,0
8142,Dentist,NY,0,0,0,0,0,0,0,0,0,0,0
8143,Psychiatry,IL,0,0,0,0,0,0,0,0,0,0,0
8144,Psychiatry,OH,0,0,0,0,0,0,0,0,0,0,0
8145,Ophthalmology,CA,0,0,0,0,0,0,0,0,0,0,0
8146,Dentist,IN,0,0,0,18,0,0,0,0,0,0,0
8147,Psychiatry,IL,0,0,0,0,0,0,0,0,0,0,0
8148,Psychiatry,PA,0,0,0,0,0,0,0,0,0,0,0
8149,Nurse Practitioner,NC,31,101,281,0,58,19,0,41,0,14,0
8150,Internal Medicine,WA,41,92,152,25,0,55,34,38,0,25,0
8151,Internal Medicine,MI,0,0,0,0,0,0,0,0,0,0,0
8152,Family Practice,OK,0,0,0,0,0,0,0,0,0,0,0
8153,Obstetrics/Gynecology,TX,0,0,0,0,0,0,0,0,0,0,0
8154,Nurse Practitioner,CA,0,0,0,0,0,0,0,0,0,0,0
8155,Dentist,NJ,0,0,0,0,0,0,0,0,0,0,0
8156,Family Practice,NY,0,0,0,0,0,0,0,0,0,0,0
8157,Internal Medicine,LA,0,0,0,0,0,0,0,0,0,0,0
8158,Family Practice,WA,0,0,0,0,0,0,0,0,0,0,0
8159,Nurse Practitioner,CA,0,0,0,0,0,0,0,0,0,0,0
8160,Dentist,LA,0,0,51,0,0,0,0,0,0,0,0
8161,Dentist,MI,0,0,20,0,0,0,0,0,0,0,0
8162,Student in an Organized Health Care Education/Training Program,NY,0,0,0,0,0,0,0,0,0,0,0
8163,Physician Assistant,NE,0,0,0,0,0,13,0,0,0,0,0
8164,Physician Assistant,CO,0,38,17,0,0,0,0,0,0,0,0
8165,Internal Medicine,MA,0,0,0,0,0,0,0,0,0,0,0
8166,Physician Assistant,ID,0,36,55,0,0,0,71,37,11,12,0
8167,Dermatology,NY,0,0,0,0,0,0,0,0,0,0,0
8168,Nurse Practitioner,PA,0,0,0,0,0,0,0,0,0,0,0
8169,Nurse Practitioner,OH,0,0,26,0,0,14,0,0,0,0,0
8170,Physician Assistant,PA,0,0,0,0,0,0,0,0,0,0,0
8171,Pulmonary Disease,FL,0,0,0,0,0,0,0,0,0,0,0
8172,Internal Medicine,CA,0,0,0,0,0,0,0,0,0,0,0
8173,Neurology,CA,0,0,0,0,0,0,0,0,0,0,0
8174,Physician Assistant,NY,0,27,0,0,0,0,0,40,0,11,0
8175,Optometry,FL,0,0,0,0,0,0,0,0,0,0,0
8176,Dentist,IN,0,0,0,0,0,0,0,0,0,0,0
8177,Student in an Organized Health Care Education/Training Program,MA,0,0,0,0,0,0,0,0,0,0,0
8178,Psychiatry,ME,0,0,0,0,0,0,0,0,0,0,0
8179,Nurse Practitioner,TX,0,0,12,0,0,0,0,0,0,0,0
8180,Nurse Practitioner,PA,0,0,0,0,0,0,0,0,0,0,0
8181,Student in an Organized Health Care Education/Training Program,OH,0,24,0,0,0,0,0,16,0,0,0
8182,Dentist,TN,0,0,21,0,0,0,0,0,0,0,0
8183,Nurse Practitioner,FL,0,0,26,0,0,0,0,0,0,0,0
8184,Nurse Practitioner,CT,0,0,0,0,0,0,0,0,0,0,0
8185,Physician Assistant,MN,0,0,0,0,0,0,0,0,0,0,0
8186,Internal Medicine,RI,0,0,0,0,0,0,0,0,0,0,0
8187,Emergency Medicine,IN,0,0,11,0,0,0,0,0,0,0,0
8188,Family Practice,MN,16,71,73,0,18,63,11,135,0,48,14
8189,Internal Medicine,TX,0,0,0,0,0,0,0,0,0,0,0
8190,Hematology/Oncology,NJ,0,0,0,0,0,0,0,13,0,0,0
8191,Family Practice,WI,0,0,0,0,0,0,0,0,0,0,0
8192,Dentist,PA,0,0,0,0,0,0,0,0,0,0,0
8193,Urology,OK,0,15,107,0,0,0,0,0,0,0,0
8194,Dermatology,PA,0,0,0,0,0,0,0,0,0,0,0
8195,Family Practice,NY,0,266,122,0,0,77,28,22,0,0,0
8196,Rheumatology,TX,0,0,115,0,0,351,18,0,0,0,0
8197,Family Practice,NY,26,73,174,18,24,68,42,83,32,19,67
8198,Psychiatry,FL,0,0,0,0,0,0,0,0,0,0,0
8199,Nurse Practitioner,MN,0,0,27,0,0,0,0,0,0,16,0
8200,Family Practice,VA,0,16,28,0,0,20,0,50,0,55,0
8201,Family Practice,TN,0,0,0,0,0,0,0,0,0,0,0
8202,Physician Assistant,NY,0,0,17,0,0,0,0,0,0,0,0
8203,Family Practice,PA,0,0,25,0,0,0,0,0,0,0,0
8204,Obstetrics/Gynecology,MO,0,0,26,0,0,30,0,29,0,0,0
8205,Endocrinology,CT,0,0,0,0,0,0,0,0,0,0,0
8206,Dentist,PR,0,0,0,0,0,0,0,0,0,0,0
8207,Cardiology,NJ,0,29,0,0,0,0,0,0,0,0,0
8208,General Surgery,GA,0,21,0,0,0,0,0,0,0,0,0
8209,Dentist,AZ,0,0,0,0,0,0,0,0,0,0,0
8210,Infectious Disease,PA,0,0,0,0,0,0,0,0,0,0,0
8211,Dermatology,CA,0,0,11,0,0,0,0,0,0,0,0
8212,Family Practice,OH,0,0,59,0,0,103,0,0,0,0,0
8213,Dentist,OH,0,0,12,0,0,0,0,0,0,0,0
8214,Cardiology,KY,0,0,0,0,0,0,0,0,0,0,0
8215,Family Practice,IN,0,23,284,0,56,162,0,28,0,0,0
8216,Optometry,MI,0,0,0,0,0,0,0,0,0,0,0
8217,Pediatric Medicine,MI,0,0,0,0,0,0,0,0,0,0,0
8218,Family Practice,OH,0,17,49,14,0,69,0,0,0,0,0
8219,Internal Medicine,LA,0,0,194,0,0,0,0,0,0,0,0
